id,FullName,BeginYear,PaperNum,CM4AI,RecentYear,Index,is_author
225,Baba Inusa,2005,102,,2024,0,1
878,Rutger Schutten,2017,5,,2022,1,1
1098,Vardit Ravitsky (CM4AI),2002,192,1.0,2023,2,1
1352,Ursula Grohmann,1988,158,,2023,3,1
1592,Sharon R Lewin,1993,373,,2023,4,1
1935,Chengjun Li,2005,72,,2023,5,1
2053,Nigel J Cairns,1988,453,,2023,6,1
2658,Urban ??sby,1992,80,,2022,7,1
2958,Bhanu Prasad Venkatesulu,2011,115,,2023,8,1
3898,Jean Carlo Gorinchteyn,2010,5,,2022,9,1
3964,Nicholas S Heaton,2006,62,,2023,10,1
5300,Elizabeth Benjamin,1980,185,,2023,11,1
5797,Allan Doctor,1974,137,,2023,12,1
6312,Mark E Frisse,1975,68,,2021,13,1
6719,Maryou B Lambros,2002,108,,2021,14,1
6980,Jonathan E Gable,2008,14,,2023,15,1
7781,Hongzhu Qu,2007,36,,2023,16,1
7805,Wei-Yi Chen,1998,68,,2023,17,1
8584,Kai Blin,2011,43,,2023,18,1
8862,Sarah R Hoy,2015,8,,2023,19,1
9299,Yawen Tang,2016,18,,2023,20,1
9963,Insoo Kang,1997,88,,2023,21,1
9991,Alan Ashworth,1982,525,,2022,22,1
10365,George Djaiani,1997,97,,2023,23,1
10510,Jeffrey R O'Connell,1995,215,,2023,24,1
10512,Melanie Hullings,2012,11,,2021,25,1
10972,Maria Pikoula,2017,8,,2023,26,1
11106,Gearoid M McMahon,1999,59,,2023,27,1
11206,Neill R Graff-Radford,1982,498,,2023,28,1
12377,Bianca Habermann,1993,128,,2023,29,1
12941,Depin Cao,2007,32,,2023,30,1
13159,Tania Tudorache,2008,25,,2022,31,1
14952,Francisco Melo,1989,128,,2023,32,1
15156,Gerald A Fishman,1971,411,,2022,33,1
15407,Ibrahim Numanagi??,2012,23,,2023,34,1
15776,Maximilian Muenke,1990,312,,2023,35,1
17719,Ajitha Mannalithara,2008,52,,2023,36,1
17784,Ari B Galper,2017,4,,2022,37,1
18758,Maria J Aristizabal,2011,18,,2023,38,1
19521,Bryn Williams-Jones,1999,76,,2023,39,1
20136,Yongjun Zhao,2005,107,,2023,40,1
20641,Yaowalak U-Pratya,1998,50,,2023,41,1
21124,Cecilia Chaparro,1994,98,,2023,42,1
21317,Elizabeth Tseng,2014,37,,2023,43,1
21780,Phillip A Futreal,1991,406,,2023,44,1
21949,Sayan Gupta,2001,40,,2022,45,1
22611,Yijiang Zhou,2012,21,,2023,46,1
23209,Michael W Donnino,2002,245,,2024,47,1
23681,Ashley C Griffin,2016,15,,2023,48,1
23868,Fran??ois Lamontagne,1996,196,,2023,49,1
23944,Steven Y He,2012,10,,2023,50,1
24116,Kelly E Glajch,2006,19,,2023,51,1
24221,Walter F Stewart,1984,311,,2023,52,1
24740,Yuhong Wei,2002,29,,2023,53,1
25021,Christopher D Deppmann,2003,49,,2023,54,1
25292,Carrie L Byington,1993,144,,2023,55,1
27461,Edmund Tsui,2011,89,,2023,56,1
27691,Manohar Ghanta,2018,7,,2023,57,1
27944,Xavier Borrat,2008,19,,2023,58,1
28042,Suzan Verberne,2018,11,,2023,59,1
28605,Vikas Bansal,2004,68,,2023,60,1
29048,Mark J Levis,1992,216,,2023,61,1
30643,Mark W Friedberg,1998,123,,2023,62,1
31173,Pankaj Sarin,2000,31,,2023,63,1
32013,Fernando R??os,2002,43,,2023,64,1
32491,Peihao Fan,2018,19,,2023,65,1
32793,Min Ho An,2018,7,,2023,66,1
33090,David D McPherson,1983,197,,2023,67,1
33260,Neesh Pannu,2002,138,,2023,68,1
33351,Luis Ib????ez,1980,126,,2023,69,1
33850,Hanno B Richards,1995,61,,2023,70,1
34236,Gary Michael Felker,1992,438,,2023,71,1
34252,Jonathan J Deeks,1991,367,,2023,72,1
35033,Wendy S Vargas,2012,37,,2023,73,1
