id,FullName,BeginYear,PaperNum,Index
225,Baba Inusa,2005,102,0
878,Rutger Schutten,2017,5,1
915,Roemer van der Meij,2012,10,2
1098,Vardit Ravitsky,2002,102,3
1352,Ursula Grohmann,1988,158,4
1592,Sharon R Lewin,1993,373,5
1935,Chengjun Li,2005,72,6
2053,Nigel J Cairns,1988,453,7
2066,Lan Wang,2008,10,8
2658,Urban Ösby,1992,80,9
2958,Bhanu Prasad Venkatesulu,2011,115,10
3898,Jean Carlo Gorinchteyn,2010,5,11
3964,Nicholas S Heaton,2006,62,12
5300,Elizabeth Benjamin,1980,185,13
5797,Allan Doctor,1974,137,14
6312,Mark E Frisse,1975,68,15
6719,Maryou B Lambros,2002,108,16
6980,Jonathan E Gable,2008,14,17
7219,Paulette Blanc,2016,2,18
7781,Hongzhu Qu,2007,36,19
7805,Wei-Yi Chen,1998,68,20
8584,Kai Blin,2011,43,21
8862,Sarah R Hoy,2015,8,22
9299,Yawen Tang,2016,18,23
9808,Steven E Hill,1996,27,24
9963,Insoo Kang,1997,88,25
9991,Alan Ashworth,1982,525,26
10365,George Djaiani,1997,97,27
10510,Jeffrey R O'Connell,1995,215,28
10512,Melanie Hullings,2012,11,29
10972,Maria Pikoula,2017,8,30
11106,Gearoid M McMahon,1999,59,31
11206,Neill R Graff-Radford,1982,498,32
12372,Davor Solter,1954,221,33
12377,Bianca Habermann,1993,128,34
12941,Depin Cao,2007,32,35
13159,Tania Tudorache,2008,25,36
13997,Kavin B Vasudevan,2011,2,37
14918,Amanda Hicks,1996,16,38
14952,Francisco Melo,1989,128,39
15017,Isabelle Bairati,1989,81,40
15156,Gerald A Fishman,1971,411,41
15263,Fuqu Hu,2010,9,42
15407,Ibrahim Numanagić,2012,23,43
15776,Maximilian Muenke,1990,312,44
16432,Franziska Görtler,2018,2,45
17719,Ajitha Mannalithara,2008,52,46
17784,Ari B Galper,2017,4,47
18758,Maria J Aristizabal,2011,18,48
